,sequence,drug,unobstructed,h_bond_bridging,orthogonal_planes
24,O=C(O)C(O)C(O)C(=O)O,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
25,O=C(O)C(=O)O,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,1
26,O=C(O)C1=CC=CC=C1O,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
27,C1=CC2=CC=CC3=C2C(=C1)CC3,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
28,O=C1C(Cl)=C(Cl)C(=O)C(Cl)=C1Cl,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,1
29,C1COCCOCCOCCOCCOCCOCCOCCO1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,0,0
30,BrC1=CC=C(Br)C2=C1N=C(C1=CC=C(C3=NC4=C(Br)C=CC(Br)=C4N3)C=C1)N2,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
31,O=C(O)C1=CC=CC2=CC=CC(C(=O)O)=C12,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
32,O=C1C=CC=CN1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,1
33,O=C(O)C1CC1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
34,NC(=O)C1=CC=NC=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
35,O=C(O)C1CCC1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
36,O=C(O)C1CCCCC1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
37,NC(=O)C1=CN=CC=N1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
38,O=C(O)C1=CC(O)=CC(O)=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
39,COC1=CC(C=CC(=O)O)=CC=C1O,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
40,C1=NC=CC(CCC2=CC=NC=C2)=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
41,OC1=CC=C(Cl)C(O)=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
42,N#CC1=CC=C(C(=O)O)C=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
43,NNC(=O)C1=CC=NC=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
44,NC1=CC=C(C(=O)O)C=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
45,O=C(O)C1=CC=C([N+](=O)[O-])C=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
46,C1CCC(NC2CCCCC2)CC1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,0,0
47,ON=C1CCCCC1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
48,O=C1NC(=O)N(C2OC(CO)C(O)C2O)C=C1Br,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
49,NC1=NC=NC2=C1N=CN2C1OC(CO)C(O)C1O,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
50,O=C1NS(=O)(=O)C2=CC=CC=C12,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
51,O=C(O)C1=CC=C(O)C=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
52,CC1=CC(C)=NC(N)=N1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
53,CCN1C=NC2=C1N=CN=C2N,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
54,CSCOC(=O)C1(C)CC2(C)CC(C)(C1)C(=O)NC2=O,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,0,0
55,C=CC1(C)CCC2C(=CCC3C(C)(CO)C(O)CCC23C)C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,0,0
56,CC12CC34CCC5C(C)(CO)C(O)CCC5(C)C3CC1C2C4,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,0,0
57,O=C1NC=C(Br)C(=O)N1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
58,CN(C)C1=CC=C(N=NC2=CC=CC=C2C(=O)O)C=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
59,O=C(O)C1=CC(C(=O)O)=CC(C(=O)O)=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
60,CC1=CC(=O)NC(=O)N1C,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
61,CC1=NC(N)=NC(N)=N1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
62,CC(C1=CC=C(O)C=C1)(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,1,0
63,C1=CC=C(C2=CC=CC=N2)N=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
64,CN1C(=O)C2=C(N=CN2C)N(C)C1=O,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
65,O=C(O)C1=CC(F)=C(F)C(F)=C1F,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,1
66,O=C(O)C1=C(F)C=CC=C1F,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,1
67,O=C(O)C1=CC(F)=CC=C1F,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,1
68,O=C(O)C1=CC=CC(F)=C1F,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,1
69,O=C(O)C1=CC=CC(F)=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,1
70,O=C(O)C1=CC=CC=C1F,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,1
71,O=C(O)C1=CC=CC=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,1
72,O=[N+]([O-])C1=CC=C(O)C=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,1
73,C1CNCCN1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
74,CNNC(=O)C1=CC([N+](=O)[O-])=CC=C1O,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
75,C[NH2+]NC(=O)C1=CC([N+](=O)[O-])=CC=C1[O-],CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
76,CC1=CC=CC(NC2=CC=CC=C2C(=O)O)=C1C,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,1,0
77,C1=CC(N=NC2=CC=NC=C2)=CC=N1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
78,C1=NC=CC(CCCC2=CC=NC=C2)=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
79,COC1=CC=C2C=C(C(C)C(=O)O)C=CC2=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,0,0
80,NNC(=O)C1=C(O)C2=CC=CC=C2S(=O)(=O)N1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
81,NNC(=O)C(=O)NN,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
82,CC1=NNC(C=NC2=CC=CC=C2O)=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
83,CC1=CC(C=NC2=CC=CC=C2O)=NN1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
84,NC1=CC=CC2=CC=CC(N)=C12,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
85,C1=CN=C(C2=NC3=CC=CC4=CC=CC(=C34)N2)N=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
86,O=C(O)C=CC1=CC=CC=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
87,C1=CC=C2C(=C1)C1=CC=CC=C1N2C1=CC=C(C2=CC=C(N3C4=CC=CC=C4C4=CC=CC=C43)C=C2)C=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,0,0
88,N#CC1=CC(C#N)=C(C#N)C=C1C#N,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,1
89,O=C1C2=C(C(=O)C3=C([N+](=O)[O-])C=CC=C13)C([N+](=O)[O-])=CC=C2,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
90,C1=CC2=CC=C3C=CC=C4C=CC(=C1)C2=C34,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
91,O=C(O)CC1=CC=CC=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
92,O=C(O)CC1=CC=C(Cl)C=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
93,O=C(O)CC1=CC=CC2=CC=CC=C12,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
94,O=C(O)CC1=CC=C2C=CC=CC2=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
95,C1CSCCN1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
96,FC1=C(F)C(I)=C(F)C(F)=C1I,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,1
97,C1CCNCC1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
98,O=C1C(=O)C2=CC=CC=C2C2=CC=CC=C12,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
99,NC(N)=S,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
100,O=C1CNC(=O)CN1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
101,C#CC(=O)O,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,1
102,OC1=CC(Cl)=C(O)C=C1Cl,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
103,O=C(O)C1=CC(O)=CC=C1O,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
104,O=C(O)C1=CC(Cl)=CC=C1O,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
105,O=C(O)C=CC(=O)O,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,1
106,O=C(O)C1=CC(O)=C(C(=O)O)C=C1O,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
107,O=C(O)C1=CC(Cl)=C(C(=O)O)C=C1Cl,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
108,O=C1C=C(O)C(=O)C=C1O,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,1
109,CCCC=CC(=O)O,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,1
110,NC(=O)C1=CC=C(Cl)C=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
111,CN(C)C1=CC=CC(C(=O)O)=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
112,O=C1C=CC2=CC=CC=C2C1=CNC1=CC=C(OC2=CC=C(NC=C3C(=O)C=CC4=CC=CC=C34)C=C2)C=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,1,0
113,O=C1C=CC2=CC=CC=C2C1=CNC1=CC=C(OC2=CC=C(N=CC3=C4C=CC=CC4=CC=C3O)C=C2)C=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,1,0
114,O=C(NCC1=CC=NC=C1)C(=O)NCC1=CC=NC=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
115,O=C(O)C1=CC=CC=C1N=NC1=CC=C(O)C=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
116,CC(C)C(=O)NC1=CC=CC(NC(=O)C(C)C)=N1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,1,0
117,CN(C)C1=CC=C(C#CC2(C)CC3(C)CC(C)(C2)C(=O)NC3=O)C=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,0,0
118,C#CC1(C)CC2(C)CC(C)(C1)C(=O)NC2=O,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,1,0
119,CC1(C#CC2=CC=C(C3=CN=CC=N3)C=C2)CC2(C)CC(C)(C1)C(=O)NC2=O,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,0,0
120,CC1(C#CC2=CC=C(C3=CN=CN=C3)C=C2)CC2(C)CC(C)(C1)C(=O)NC2=O,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,0,0
121,CC1(C#CC2=CC=CC=C2)CC2(C)CC(C)(C1)C(=O)NC2=O,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,0,0
122,CCC1=CC(NC(=O)C(C)C)=NC(NC(=O)C(C)C)=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,1,0
123,NC(=S)C(N)=S,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
124,C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,0,0
125,C1COCCOCCOCCOCCOCCO1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,0,0
126,NC(=S)NNC(N)=S,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
127,C1COCCOCCOCCO1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
128,CC1=C(C)N(C)C(=NN=C2SC(C)=C(C)N2C)S1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
129,CC(=NN=C1SC(C)=C(C)N1C)C(C)=NN=C1SC(C)=C(C)N1C,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,0,0
130,O=C1CN(N=CC2=CC=C([N+](=O)[O-])O2)C(=O)N1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
131,CC(=O)NC1=CC=CC(NC(C)=O)=N1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
132,O=P(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,0,0
133,NC(=S)C1=CC=CC=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
134,C1=CC2=C3C(=C1)C=CC=C3C1=CC=CC3=CC=CC2=C31,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
135,N#CC(C#N)=C1C(F)=C(F)C(=C(C#N)C#N)C(F)=C1F,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
136,O=C(O)C1=CC(O)=C(O)C(O)=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
137,CC1(C)C(=O)N(I)C(=O)N1I,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
138,CC1=CC=NC=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,1
139,C1=NC=CC(N2CCCC2)=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
140,COC(=O)C1=CC=NC=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
141,CN(C)C1=CC=NC=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
142,O=C1C=CC(=O)N1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,1
143,COC1=CC=CC(COC2=CC(=O)OC(C)=C2)=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,0,0
144,OC1=CC=C2C=CC=CC2=C1C1=C(O)C=CC2=CC=CC=C12,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,1,0
145,C1=CC=C2C=NC=CC2=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
146,OC1(C2=CC=CC=C2)C2=CC=CC=C2C2=CC=CC=C21,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,0,0
147,CC1CCC(N)CC1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
148,O=C(O)C1=CC=C(C=CC2=CC=C(C(=O)O)C=C2)C=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,1,0
149,C#CC#CCOC(=O)C1=CC(O)=CC(O)=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
150,COC1=CC=CC(OC)=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
151,N#CC(C#N)=C(C#N)C1=CC=C(C2=CC=C(C3=CC=C(C(C#N)=C(C#N)C#N)S3)N2C2=CC=CC=C2)S1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
152,COC1=CC=C(OC)C=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
153,[NH3+]C1=CC=CC=C1C(=O)[O-],CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
154,NC(=O)C1=CC=CC=C1O,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
155,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,1,0
156,C1=CC(C2=CC=NC=C2)=CC=N1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
157,OC1=CC=CC2=C3C=CC=CC3=C3C=CC=CC3=C3C=CC=C(O)C3=C12,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,1,0
158,NC(=O)NC(N)=O,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,1
159,O=C(O)CCCC(=O)O,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
160,NC(N)=O,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
161,C1=CN=C2C(=C1)C=CC1=CC=CN=C12,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
162,CC1=CC=C2C=CC3=CC=C(C)N=C3C2=N1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
163,O=C(O)C1CCC(C(=O)O)CC1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
164,C1=CN(CC2=CC=C(CN3C=CN=C3)C=C2)C=N1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
165,CC1=C(N(C)C)C(=O)N(C2=CC=CC=C2)N1C,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,0,0
166,CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,1,0
167,CC(=CC(=O)O)C(=O)O,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
168,[O-]C1=CC=CC=C1C=[NH+]C1=CC=CC=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
169,OC1=CC=C(Br)C=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,1
170,CC12CCC3C(CCC4CC(=O)CCC43C)C1CCC2=O,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,0,0
171,CC12C=CC(=O)C=C1C=CC1C2CCC2(C)C(=O)CCC12,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,0,0
172,C1=CN=CC=N1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,1
173,CNC(C)=O,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
174,OC(C1=CC=CC=C1)(C1=CC=CC=C1)C1OC2(CCCCC2)OC1C(O)(C1=CC=CC=C1)C1=CC=CC=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,0,0
175,C[S+](C)CCC(=O)[O-],CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
176,O=[N+]([O-])C1=CC([N+](=O)[O-])=C(O)C([N+](=O)[O-])=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,1
177,O=C1C(Cl)=CC(=C2C=C(Cl)C(=O)C(Cl)=C2)C=C1Cl,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
178,C1=CC=C2C=C3C=CC=CC3=CC2=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
179,O=C1OC(=O)C2=CC3=C(C=C12)C(=O)OC3=O,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
180,O=[N+]([O-])C1=CC=CC=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,1
181,OC(C#CC#CC(O)(C1=CC=CC=C1)C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,1,0
182,O=C1C=C2C=CC=CC2=CN1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
183,C1CSCCS1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,1
184,C1=CC=C2N=C3C=CC=CC3=NC2=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
185,FC1=C(F)C(F)=C(I)C(I)=C1F,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,1
186,O=C(C=CC1=CC=NC=C1)C=CC1=CC=NC=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
187,ClC1=CC=C(C=CC2=CC=NC=C2)C(Cl)=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
188,OC1=CC(O)=C(Cl)C=C1Cl,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
189,C1=CC=C(C2=C3OCCOC3=C(C3=CC=CC=N3)S2)N=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
190,C1=CC=C(C2=CC=C(C3=CC=CC=N3)S2)N=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
191,OC1=CC=CC=C1O,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
192,CCCN,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
193,CCCN1C(O)=C(C#N)C(C2=CC=CC=C2)=C(C#N)C1=O,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
194,CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,0,0
195,C=CCOC(C)=O,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,1
196,CC1=CC(=O)N(C2=CC=CC=C2)N1C,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
197,O=[N+]([O-])C1=CC=CC([N+](=O)[O-])=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,1
198,CN1C2=CC=CC=C2SC2=CC=CC=C21,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
199,CC(=O)C1=CC(C(=O)C2=CC=CC=C2)=NN(C2=CC=CC=C2)C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,0,0
200,CC(=O)C1=NN(C2=CC=CC=C2)CC(C(=O)C2=CC=CC=C2)=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,0,0
201,CC1=C[N+]([O-])=C2C=CC=CC2=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
202,O=C(O)C1=CC=CC(Cl)=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
203,CC1=CC=C(S(=O)(=O)[N-]C(=O)CN2CCC[NH2+]CCNCCCNCC2)C=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,1,0
204,CC1=CC=C(S(N)(=O)=O)C=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
205,OC1(C2=CC=CC=C2C2=CC=CC=C2C2(O)C3=CC=CC=C3C3=CC=CC=C32)C2=CC=CC=C2C2=CC=CC=C21,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,1,0
206,BrC1=CC=CN=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,1
207,ClC1=CC=CN=C1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,1
208,CC1=CN=C(NC(=O)C2=C(O)C3=CC=CC=C3S(=O)(=O)N2C)S1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,1,0
209,CC(=O)OC1=CC=CC=C1C(=O)O,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,0
210,O=C1C(Br)=C(Br)C(=O)C(Br)=C1Br,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,1
211,C1=CSC(=C2SC=CS2)S1,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,1
212,FC(F)(I)C(F)(F)C(F)(F)C(F)(F)I,CN1C2=C(C(=O)N(C1=O)C)NC=N2,1,0,1
